COLUMN HEADER,Raw GitHub URL
THINKER AND WORK,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/THINKER%20AND%20WORK.jpg
APPLYING THE THOUGHT,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/APPLYING%20THE%20THOUGHT.jpg
TED TALK,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TED%20TALK.jpg
PUBLISHED ARTICLE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/PUBLISHED%20ARTICLE.jpg
TRAINING CENTERS OF CORPORATIONS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINING%20CENTERS%20OF%20CORPORATIONS.jpg
TRAINERS IN NORTH AMERICA AND EUROPE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20IN%20NORTH%20AMERICA%20AND%20EUROPE.jpg
TRAINERS IN SINGAPORE AND AUSTRALIA,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20IN%20SINGAPORE%20AND%20AUSTRALIA.jpg
TRAINERS IN INDIA,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20IN%20INDIA.jpg
IDEA OF USING FINE ARTS AND PERFORMING ARTS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20FINE%20ARTS%20AND%20PERFORMING%20ARTS.jpg
TRAINERS USING FINE ARTS AND PERFORMING ARTS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20FINE%20ARTS%20AND%20PERFORMING%20ARTS.jpg
IDEA OF USING GAMES AND ACTIVITIES,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20GAMES%20AND%20ACTIVITIES.jpg
TRAINERS USING GAMES AND ACTIVITIES,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20GAMES%20AND%20ACTIVITIES.jpg
IDEA OF USING DESIGN AND ENTERTAINMENT,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20DESIGN%20AND%20ENTERTAINMENT.jpg
TRAINERS USING DESIGN AND ENTERTAINMENT,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20DESIGN%20AND%20ENTERTAINMENT.jpg
IDEA OF USING CASE STUDY AND PRESENTATION,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20CASE%20STUDY%20AND%20PRESENTATION.jpg
TRAINERS USING CASE STUDY AND PRESENTATION,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20CASE%20STUDY%20AND%20PRESENTATION.jpg
IDEA OF USING AR AND VR,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20AR%20AND%20VR.jpg
TRAINERS USING AR AND VR,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20AR%20AND%20VR.jpg
IDEA OF USING GAMIFICATION AND SIMULATION,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20GAMIFICATION%20AND%20SIMULATION.jpg
TRAINERS USING GAMIFICATION AND SIMULATION,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20GAMIFICATION%20AND%20SIMULATION.jpg
IDEA OF USING BIO FEEDBACK AND NEURO PROFILING,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20BIO%20FEEDBACK%20AND%20NEURO%20PROFILING.jpg
TRAINERS USING BIO FEEDBACK AND NEURO PROFILING,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20BIO%20FEEDBACK%20AND%20NEURO%20PROFILING.jpg
IDEA OF USING REAL TIME BEHAVIOUR ANALYTICS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20REAL%20TIME%20BEHAVIOUR%20ANALYTICS.jpg
TRAINERS USING REAL TIME BEHAVIOUR ANALYTICS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20REAL%20TIME%20BEHAVIOUR%20ANALYTICS.jpg
IDEA OF USING EMBEDDED MICRO LEARNING,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20EMBEDDED%20MICRO%20LEARNING.jpg
TRAINERS USING EMBEDDED MICRO LEARNING,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20EMBEDDED%20MICRO%20LEARNING.jpg
IDEA OF USING GEN AI,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/IDEA%20OF%20USING%20GEN%20AI.jpg
TRAINERS USING GEN AI,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/columns/TRAINERS%20USING%20GEN%20AI.jpg
